phrase,english
WHAT WHITE,What White?
WHAT YELLOW,What Yellow?
WHAT YOU,What You?
WHATEVER,Whatever.
WHATEVER BREAD,Whatever Bread.
WHATEVER COFFEE,Whatever Coffee.
WHATEVER COLD,Whatever Cold.
WHATEVER DEAF,Whatever Deaf.
WHATEVER EGG,Whatever Egg.
WHATEVER FRIDAY,Whatever Friday.
WHATEVER HOT,Whatever Hot.
WHATEVER I,Whatever I.
WHATEVER LONGANISA,Whatever Longanisa.
WHATEVER MONDAY,Whatever Monday.
WHATEVER ORANGE,Whatever Orange.
WHATEVER PINK,Whatever Pink.
WHATEVER RED,Whatever Red.
WHATEVER RICE,Whatever Rice.
WHATEVER SATURDAY,Whatever Saturday.
WHATEVER SUNDAY,Whatever Sunday.
WHATEVER THURSDAY,Whatever Thursday.
WHATEVER TODAY,Whatever Today.
WHATEVER TOMORROW,Whatever Tomorrow.
WHATEVER TUESDAY,Whatever Tuesday.
WHATEVER VIOLET,Whatever Violet.
WHATEVER WEDNESDAY,Whatever Wednesday.
WHATEVER WHITE,Whatever White.
WHATEVER YELLOW,Whatever Yellow.
WHATEVER YOU,Whatever You.
WHEN,When?
WHEN BREAD,When Bread?
WHEN COFFEE,When Coffee?
WHEN COLD,When Cold?
WHEN DEAF,When Deaf?
WHEN EGG,When Egg?
WHEN FRIDAY,When Friday?
WHEN HERE,When Here?
WHEN HOT,When Hot?
WHEN I,When I?
WHEN LONGANISA,When Longanisa?
WHEN MAYBE,When Maybe?
WHEN MONDAY,When Monday?
WHEN MORE,When More?
WHEN NAME,When name?
WHEN ORANGE,When Orange?
WHEN PINK,When Pink?
WHEN RED,When Red?
WHEN RICE,When Rice?
WHEN SATURDAY,When Saturday?
WHEN SUNDAY,When Sunday?
WHEN THURSDAY,When Thursday?
WHEN TODAY,When Today?
WHEN TOMORROW,When Tomorrow?
WHEN TUESDAY,When Tuesday?
WHEN VIOLET,When Violet?
WHEN WEDNESDAY,When Wednesday?
WHEN WHATEVER,When Whatever?
WHEN WHITE,When White?
WHEN YELLOW,When Yellow?
WHEN YOU,When You?
WHERE,Where?
WHERE BREAD,Where Bread?
WHERE COFFEE,Where Coffee?
WHERE COLD,Where Cold?
WHERE DEAF,Where Deaf?
WHERE EGG,Where Egg?
WHERE FRIDAY,Where Friday?
WHERE HERE,Where Here?
WHERE HOT,Where Hot?
WHERE I,Where I?
WHERE LONGANISA,Where Longanisa?
WHERE MAYBE,Where Maybe?
WHERE MONDAY,Where Monday?
WHERE MORE,Where More?
WHERE NAME,Where name?
WHERE ORANGE,Where Orange?
WHERE PINK,Where Pink?
WHERE RED,Where Red?
WHERE RICE,Where Rice?
WHERE SATURDAY,Where Saturday?
WHERE SUNDAY,Where Sunday?
WHERE THURSDAY,Where Thursday?
WHERE TODAY,Where Today?
WHERE TOMORROW,Where Tomorrow?
WHERE TUESDAY,Where Tuesday?
WHERE VIOLET,Where Violet?
WHERE WEDNESDAY,Where Wednesday?
WHERE WHATEVER,Where Whatever?
WHERE WHITE,Where White?
WHERE YELLOW,Where Yellow?
WHERE YOU,Where You?
WHERE YOU LIVE,Where do you live?
WHITE,White.
WHITE ORANGE,White and Orange.
WHITE PINK,White and Pink.
WHITE RED,White and Red.
WHITE VIOLET,White and Violet.
WHITE WHITE,White.
WHITE YELLOW,White and Yellow.
WHO,Who?
WHO BREAD,Who Bread?
WHO COFFEE,Who Coffee?
WHO COLD,Who Cold?
WHO DEAF,Who Deaf?
WHO EGG,Who Egg?
WHO FRIDAY,Who Friday?
WHO HERE,Who Here?
WHO HOT,Who Hot?
WHO I,Who I?
WHO LONGANISA,Who Longanisa?
WHO MAYBE,Who Maybe?
WHO MONDAY,Who Monday?
WHO MORE,Who More?
WHO NAME,Who name?
WHO ORANGE,Who Orange?
WHO PINK,Who Pink?
WHO RED,Who Red?
WHO RICE,Who Rice?
WHO SATURDAY,Who Saturday?
WHO SUNDAY,Who Sunday?
WHO THURSDAY,Who Thursday?
WHO TODAY,Who Today?
WHO TOMORROW,Who Tomorrow?
WHO TUESDAY,Who Tuesday?
WHO VIOLET,Who Violet?
WHO WEDNESDAY,Who Wednesday?
WHO WHATEVER,Who Whatever?
WHO WHITE,Who White?
WHO YELLOW,Who Yellow?
WHO YOU,Who are you?
WHY,Why?
WHY BREAD,Why Bread?
WHY COFFEE,Why Coffee?
WHY COLD,Why Cold?
WHY DEAF,Why Deaf?
WHY EGG,Why Egg?
WHY FRIDAY,Why Friday?
WHY HERE,Why Here?
WHY HOT,Why Hot?
WHY I,Why I?
WHY LONGANISA,Why Longanisa?
WHY MAYBE,Why Maybe?
WHY MONDAY,Why Monday?
WHY MORE,Why More?
WHY NAME,Why name?
WHY ORANGE,Why Orange?
WHY PINK,Why Pink?
WHY RED,Why Red?
WHY RICE,Why Rice?
WHY SATURDAY,Why Saturday?
WHY SUNDAY,Why Sunday?
WHY THURSDAY,Why Thursday?
WHY TODAY,Why Today?
WHY TOMORROW,Why Tomorrow?
WHY TUESDAY,Why Tuesday?
WHY VIOLET,Why Violet?
WHY WEDNESDAY,Why Wednesday?
WHY WHATEVER,Why Whatever?
WHY WHITE,Why White?
WHY YELLOW,Why Yellow?
WHY YOU,Why You?
WRONG,Wrong.
WRONG CORRECT,Wrong Correct.
WRONG DEAF,Wrong Deaf.
WRONG DON'T KNOW,Wrong Don'T Know.
WRONG I,I am wrong.
WRONG KNOW,Wrong Know.
WRONG NO,Wrong No.
WRONG UNDERSTAND,Wrong Understand.
WRONG WRONG,Wrong.
WRONG YES,Wrong Yes.
WRONG YOU,You are wrong.
YELLOW,Yellow.
YELLOW ORANGE,Yellow and Orange.
YELLOW PINK,Yellow and Pink.
YELLOW RED,Yellow and Red.
YELLOW VIOLET,Yellow and Violet.
YELLOW WHITE,Yellow and White.
YELLOW YELLOW,Yellow.
YES,Yes.
YES CORRECT,"Yes, correct."
YES DEAF,Yes Deaf.
YES DON'T KNOW,Yes Don'T Know.
YES I,Yes I.
YES KNOW,Yes Know.
YES NO,Yes No.
YES UNDERSTAND,Yes Understand.
YES WRONG,Yes Wrong.
YES YES,Yes.
YES YOU,Yes You.
YOU,You.
YOU CORRECT,You Correct.
YOU DON'T KNOW,You Don'T Know.
YOU DRINK,You Drink.
YOU DRINK BREAD,You drink bread.
YOU DRINK COFFEE,You drink coffee.
YOU DRINK COLD,You drink cold.
YOU DRINK EGG,You drink egg.
YOU DRINK HERE,You drink here.
YOU DRINK HOT,You drink hot.
YOU DRINK LONGANISA,You drink longanisa.
YOU DRINK MORE,You drink more.
YOU DRINK ORANGE,You drink orange.
YOU DRINK PINK,You drink pink.
YOU DRINK RED,You drink red.
YOU DRINK RICE,You drink rice.
YOU DRINK VIOLET,You drink violet.
YOU DRINK WHITE,You drink white.
YOU DRINK YELLOW,You drink yellow.
YOU EAT,You Eat.
YOU EAT BREAD,You eat bread.
YOU EAT COFFEE,You eat coffee.
YOU EAT COLD,You eat cold.
YOU EAT EGG,You eat egg.
YOU EAT HERE,You eat here.
YOU EAT HOT,You eat hot.
YOU EAT LONGANISA,You eat longanisa.
YOU EAT MORE,You eat more.
YOU EAT ORANGE,You eat orange.
YOU EAT PINK,You eat pink.
YOU EAT RED,You eat red.
YOU EAT RICE,You eat rice.
YOU EAT VIOLET,You eat violet.
YOU EAT WHITE,You eat white.
YOU EAT YELLOW,You eat yellow.
YOU KNOW,You know.
YOU LIKE,You Like.
YOU LIKE BREAD,You like bread.
YOU LIKE COFFEE,You like coffee.
YOU LIKE COLD,You like cold.
YOU LIKE EGG,You like egg.
YOU LIKE HERE,You like here.
YOU LIKE HOT,You like hot.
YOU LIKE LONGANISA,You like longanisa.
YOU LIKE MORE,You like more.
YOU LIKE ORANGE,You like orange.
YOU LIKE PINK,You like pink.
YOU LIKE RED,You like red.
YOU LIKE RICE,You like rice.
YOU LIKE VIOLET,You like violet.
YOU LIKE WHITE,You like white.
YOU LIKE YELLOW,You like yellow.
YOU LIVE,You Live.
YOU LOVE,You Love.
YOU LOVE BREAD,You love bread.
YOU LOVE COFFEE,You love coffee.
YOU LOVE COLD,You love cold.
YOU LOVE EGG,You love egg.
YOU LOVE HERE,You love here.
YOU LOVE HOT,You love hot.
YOU LOVE LONGANISA,You love longanisa.
YOU LOVE MORE,You love more.
YOU LOVE ORANGE,You love orange.
YOU LOVE PINK,You love pink.
YOU LOVE RED,You love red.
YOU LOVE RICE,You love rice.
YOU LOVE VIOLET,You love violet.
YOU LOVE WHITE,You love white.
YOU LOVE YELLOW,You love yellow.
YOU NO,You No.
YOU STOP,You Stop.
YOU UNDERSTAND,You understand.
YOU WANT,You Want.
YOU WANT BREAD,You want bread.
YOU WANT COFFEE,You want coffee.
YOU WANT COLD,You want cold.
YOU WANT EGG,You want egg.
YOU WANT HERE,You want here.
YOU WANT HOT,You want hot.
YOU WANT LONGANISA,You want longanisa.
YOU WANT MORE,You want more.
YOU WANT ORANGE,You want orange.
YOU WANT PINK,You want pink.
YOU WANT RED,You want red.
YOU WANT RICE,You want rice.
YOU WANT VIOLET,You want violet.
YOU WANT WHITE,You want white.
YOU WANT YELLOW,You want yellow.
YOU WRONG,You are wrong.
YOU YES,You Yes.
YOURE WELCOME,Youre Welcome
YOURE WELCOME BYE,Youre Welcome Bye.
YOURE WELCOME DEAF,Youre Welcome Deaf.
YOURE WELCOME GOOD AFTERNOON,Youre Welcome Good Afternoon.
YOURE WELCOME GOOD EVENING,Youre Welcome Good Evening.
YOURE WELCOME GOOD MORNING,Youre Welcome Good Morning.
YOURE WELCOME I,Youre Welcome I.
YOURE WELCOME OK,Youre Welcome Ok.
YOURE WELCOME PARENTS,Youre Welcome Parents.
YOURE WELCOME PLEASE,Youre Welcome Please.
YOURE WELCOME SORRY,Youre Welcome Sorry.
YOURE WELCOME THANK YOU,You're welcome. Thank you.
YOURE WELCOME YOU,Youre Welcome You.
YOURE WELCOME YOURE WELCOME,Youre Welcome
